indicator,year,spearman_rank_corr,n_obs
patent_residents,2015,0.49597527177549583,136
patent_residents,2016,0.4801574120610279,136
patent_residents,2017,0.41808254356556696,136
patent_residents,2018,0.40767056069214913,136
patent_residents,2019,0.4648664386269918,136
patent_residents,2020,0.4309830224159069,136
patent_residents,2021,0.4186511762716724,136
patent_residents,2022,0.42342744627610734,136
patent_residents,2023,0.4164004277253103,136
patent_residents,2024,0.40575118539926414,136
researchers_per_million,2015,0.38443662427590164,136
researchers_per_million,2016,0.3573609095518735,136
researchers_per_million,2017,0.31703266180507506,136
researchers_per_million,2018,0.35269700031039347,136
researchers_per_million,2019,0.3615817835324178,136
researchers_per_million,2020,0.37577095088401397,136
researchers_per_million,2021,0.3882024239938546,136
researchers_per_million,2022,0.4169997159546708,136
researchers_per_million,2023,0.3890379307087712,136
researchers_per_million,2024,0.40766708187104833,136
high_tech_exports_share,2015,0.13512185377191552,136
high_tech_exports_share,2016,0.08964865761711424,136
high_tech_exports_share,2017,0.12753106003754464,136
high_tech_exports_share,2018,0.07745376837446688,136
high_tech_exports_share,2019,0.12427718113946738,136
high_tech_exports_share,2020,0.2188640636209816,136
high_tech_exports_share,2021,0.16788965475724496,136
high_tech_exports_share,2022,0.21584858537817275,136
high_tech_exports_share,2023,0.24427947152720858,136
high_tech_exports_share,2024,0.2500238559748406,136
employment_rate,2015,-0.29465197271122556,136
employment_rate,2016,-0.2733556048802155,136
employment_rate,2017,-0.2610610180811984,136
employment_rate,2018,-0.24953007967177135,136
employment_rate,2019,-0.22888698058298743,136
employment_rate,2020,-0.24049425122847193,136
employment_rate,2021,-0.19948952817136587,136
employment_rate,2022,-0.19698964744048467,136
employment_rate,2023,-0.2181718429464243,136
employment_rate,2024,-0.2104527455751157,136
urban_population_share,2015,0.46185993922542307,136
urban_population_share,2016,0.45248057097299893,136
urban_population_share,2017,0.474736294725572,136
urban_population_share,2018,0.4624305998758333,136
urban_population_share,2019,0.4770501266698373,136
urban_population_share,2020,0.5121344980474198,136
urban_population_share,2021,0.4518699101712135,136
urban_population_share,2022,0.4677947988927759,136
urban_population_share,2023,0.450696296442782,136
urban_population_share,2024,0.45718456746175284,136
electricity_access,2015,0.5934722077739614,136
electricity_access,2016,0.6095850524820402,136
electricity_access,2017,0.5824546516404915,136
electricity_access,2018,0.5807243122826046,136
electricity_access,2019,0.6425733435383435,136
electricity_access,2020,0.6266960902452323,136
electricity_access,2021,0.5272394912536108,136
electricity_access,2022,0.5713033500921789,136
electricity_access,2023,0.6244821594982953,136
electricity_access,2024,0.6483110632779523,136
fixed_broadband_subscriptions,2015,0.5639759553456418,136
fixed_broadband_subscriptions,2016,0.5149086398549687,136
fixed_broadband_subscriptions,2017,0.4923763179237632,136
fixed_broadband_subscriptions,2018,0.5087877486761126,136
fixed_broadband_subscriptions,2019,0.525308907017795,136
fixed_broadband_subscriptions,2020,0.5459663184008395,136
fixed_broadband_subscriptions,2021,0.522503697342684,136
fixed_broadband_subscriptions,2022,0.5540479938934211,136
fixed_broadband_subscriptions,2023,0.5412367506763435,136
fixed_broadband_subscriptions,2024,0.5653840052768742,136
pm25_exposure,2015,-0.23815208977652755,136
pm25_exposure,2016,-0.23427822417628438,136
pm25_exposure,2017,-0.15726367690445434,136
pm25_exposure,2018,-0.12326478133778786,136
pm25_exposure,2019,-0.13882941991019357,136
pm25_exposure,2020,-0.18389173213568272,136
pm25_exposure,2021,-0.1956206712713944,136
pm25_exposure,2022,-0.21813155160975348,136
pm25_exposure,2023,-0.193545386128407,136
pm25_exposure,2024,-0.21813632238019712,136
electricity_broadband_proxy,2015,0.5736367539716617,136
electricity_broadband_proxy,2016,0.5397404703974046,136
electricity_broadband_proxy,2017,0.5160011449835408,136
electricity_broadband_proxy,2018,0.5278231000429369,136
electricity_broadband_proxy,2019,0.547683793712132,136
electricity_broadband_proxy,2020,0.5647392777062162,136
electricity_broadband_proxy,2021,0.5425504508372692,136
electricity_broadband_proxy,2022,0.5665521683125805,136
electricity_broadband_proxy,2023,0.5537999141262343,136
electricity_broadband_proxy,2024,0.5734840894995468,136
