city_id,continent,state,start_year,end_year,duration,exit_observed
abidjan_ci,Africa,resilient_accelerator,2015,2015,1,1
abidjan_ci,Africa,resilient_accelerator,2018,2018,1,1
abuja_ng,Africa,resilient_accelerator,2015,2015,1,1
abuja_ng,Africa,resilient_accelerator,2025,2025,1,0
accra_gh,Africa,resilient_accelerator,2015,2015,1,1
accra_gh,Africa,resilient_accelerator,2024,2024,1,1
addis_ababa_et,Africa,resilient_accelerator,2025,2025,1,0
adelaide_au,Oceania,resilient_accelerator,2015,2015,1,1
ahmedabad_in,Asia,resilient_accelerator,2015,2015,1,1
ahmedabad_in,Asia,resilient_accelerator,2022,2022,1,1
ahmedabad_in,Asia,resilient_accelerator,2025,2025,1,0
alexandria_eg,Africa,resilient_accelerator,2015,2015,1,1
arequipa_pe,South America,resilient_accelerator,2015,2015,1,1
auckland_nz,Oceania,resilient_accelerator,2015,2015,1,1
auckland_nz,Oceania,resilient_accelerator,2023,2023,1,1
baghdad_iq,Asia,resilient_accelerator,2015,2015,1,1
bangkok_th,Asia,resilient_accelerator,2018,2018,1,1
beirut_lb,Asia,resilient_accelerator,2022,2022,1,1
belem_br,South America,resilient_accelerator,2022,2022,1,1
belgrade_rs,Europe,resilient_accelerator,2015,2015,1,1
bengaluru_in,Asia,resilient_accelerator,2015,2015,1,1
berlin_de,Europe,resilient_accelerator,2015,2015,1,1
boston_us,North America,resilient_accelerator,2015,2015,1,1
boston_us,North America,resilient_accelerator,2024,2024,1,1
brasilia_br,South America,resilient_accelerator,2015,2015,1,1
bratislava_sk,Europe,resilient_accelerator,2019,2019,1,1
brussels_be,Europe,resilient_accelerator,2015,2015,1,1
budapest_hu,Europe,resilient_accelerator,2015,2015,1,1
budapest_hu,Europe,resilient_accelerator,2021,2021,1,1
buenos_aires_ar,South America,resilient_accelerator,2015,2015,1,1
bujumbura_bi,Africa,resilient_accelerator,2015,2015,1,1
cairo_eg,Africa,resilient_accelerator,2015,2015,1,1
cairo_eg,Africa,resilient_accelerator,2024,2024,1,1
cali_co,South America,resilient_accelerator,2018,2018,1,1
chennai_in,Asia,resilient_accelerator,2015,2015,1,1
chicago_us,North America,resilient_accelerator,2015,2015,1,1
cordoba_ar,South America,resilient_accelerator,2015,2015,1,1
curitiba_br,South America,resilient_accelerator,2015,2015,1,1
cusco_pe,South America,resilient_accelerator,2022,2022,1,1
dar_es_salaam_tz,Africa,resilient_accelerator,2018,2018,1,1
dar_es_salaam_tz,Africa,resilient_accelerator,2020,2020,1,1
darwin_au,Oceania,resilient_accelerator,2015,2015,1,1
darwin_au,Oceania,resilient_accelerator,2023,2023,1,1
delhi_in,Asia,resilient_accelerator,2015,2015,1,1
denver_us,North America,resilient_accelerator,2019,2019,1,1
detroit_us,North America,resilient_accelerator,2015,2015,1,1
detroit_us,North America,resilient_accelerator,2019,2019,1,1
dhaka_bd,Asia,resilient_accelerator,2015,2015,1,1
djibouti_city_dj,Africa,resilient_accelerator,2018,2018,1,1
doha_qa,Asia,resilient_accelerator,2015,2015,1,1
douala_cm,Africa,resilient_accelerator,2023,2023,1,1
dubai_ae,Asia,resilient_accelerator,2015,2015,1,1
edmonton_ca,North America,resilient_accelerator,2015,2015,1,1
frankfurt_de,Europe,resilient_accelerator,2022,2022,1,1
glasgow_gb,Europe,resilient_accelerator,2015,2015,1,1
gold_coast_au,Oceania,resilient_accelerator,2023,2023,1,1
guangzhou_cn,Asia,resilient_accelerator,2015,2015,1,1
guayaquil_ec,South America,resilient_accelerator,2015,2015,1,1
havana_cu,North America,resilient_accelerator,2015,2015,1,1
hyderabad_in,Asia,resilient_accelerator,2015,2015,1,1
ibadan_ng,Africa,resilient_accelerator,2015,2015,1,1
jakarta_id,Asia,resilient_accelerator,2015,2015,1,1
jeddah_sa,Asia,resilient_accelerator,2015,2015,1,1
jerusalem_il,Asia,resilient_accelerator,2019,2019,1,1
johannesburg_za,Africa,resilient_accelerator,2018,2018,1,1
kano_ng,Africa,resilient_accelerator,2015,2015,1,1
karachi_pk,Asia,resilient_accelerator,2015,2015,1,1
kathmandu_np,Asia,resilient_accelerator,2015,2015,1,1
kigali_rw,Africa,resilient_accelerator,2015,2015,1,1
kolkata_in,Asia,resilient_accelerator,2015,2015,1,1
krakow_pl,Europe,resilient_accelerator,2015,2015,1,1
kumasi_gh,Africa,resilient_accelerator,2015,2015,1,1
kuwait_city_kw,Asia,resilient_accelerator,2015,2015,1,1
la_plata_ar,South America,resilient_accelerator,2015,2015,1,1
lae_pg,Oceania,resilient_accelerator,2015,2015,1,1
lagos_ng,Africa,resilient_accelerator,2015,2015,1,1
lahore_pk,Asia,resilient_accelerator,2015,2015,1,1
lahore_pk,Asia,resilient_accelerator,2024,2024,1,1
leon_mx,North America,resilient_accelerator,2015,2015,1,1
lima_pe,South America,resilient_accelerator,2015,2015,1,1
liverpool_gb,Europe,resilient_accelerator,2015,2015,1,1
liverpool_gb,Europe,resilient_accelerator,2021,2021,1,1
ljubljana_si,Europe,resilient_accelerator,2015,2015,1,1
ljubljana_si,Europe,resilient_accelerator,2018,2018,1,1
london_gb,Europe,resilient_accelerator,2015,2015,1,1
los_angeles_us,North America,resilient_accelerator,2015,2015,1,1
manaus_br,South America,resilient_accelerator,2022,2022,1,1
manila_ph,Asia,resilient_accelerator,2025,2025,1,0
maputo_mz,Africa,resilient_accelerator,2021,2021,1,1
maracaibo_ve,South America,resilient_accelerator,2015,2015,1,1
mashhad_ir,Asia,resilient_accelerator,2015,2015,1,1
melbourne_au,Oceania,resilient_accelerator,2019,2019,1,1
melbourne_au,Oceania,resilient_accelerator,2023,2023,1,1
mendoza_ar,South America,resilient_accelerator,2015,2015,1,1
merida_mx,North America,resilient_accelerator,2015,2015,1,1
miami_us,North America,resilient_accelerator,2015,2015,1,1
milan_it,Europe,resilient_accelerator,2015,2015,1,1
minneapolis_us,North America,resilient_accelerator,2015,2015,1,1
minsk_by,Europe,resilient_accelerator,2015,2015,1,1
minsk_by,Europe,resilient_accelerator,2019,2019,1,1
monrovia_lr,Africa,resilient_accelerator,2015,2015,1,1
montreal_ca,North America,resilient_accelerator,2015,2015,1,1
montreal_ca,North America,resilient_accelerator,2024,2024,1,1
moscow_ru,Europe,resilient_accelerator,2023,2023,1,1
munich_de,Europe,resilient_accelerator,2018,2018,1,1
muscat_om,Asia,resilient_accelerator,2018,2018,1,1
