candidate,alpha_dynamic,alpha_graph,alpha_critical,alpha_base,eval_roc_auc,eval_average_precision,eval_brier,temporal_mean_gain_vs_base,temporal_share_positive_gain,frontier_score,is_pareto_efficient,frontier_rank
convex_blend,0.0,0.25,0.2,0.55,0.7445265462506843,0.4949138219900852,0.1741984267382071,0.0368378076759496,1.0,0.8,1,1
convex_blend,0.1,0.25,0.2,0.45,0.7432266009852218,0.4874218923089107,0.1761027356362924,0.0417799712935181,1.0,0.571650805252694,0,2
convex_blend,0.05,0.15,0.2,0.5999999999999999,0.7424055829228242,0.492001805655141,0.1751103833822315,0.0370280237104208,1.0,0.5713851645260645,0,3
convex_blend,0.05,0.25,0.2,0.4999999999999999,0.7427476737821566,0.4894028417137059,0.1751142271731134,0.0390724063797514,1.0,0.5677785687699035,0,4
convex_blend,0.05,0.2,0.2,0.55,0.7424740010946907,0.4884848325540817,0.1751110555785593,0.0380806507348615,1.0,0.5198805665450681,0,5
convex_blend,0.1,0.2,0.2,0.4999999999999999,0.7424740010946907,0.4876980623466279,0.1760940715789995,0.0405392571857662,1.0,0.5091848998924833,0,6
convex_blend,0.15,0.2,0.2,0.4499999999999999,0.7424055829228243,0.4877081308367386,0.1771497956077124,0.0430900806576265,1.0,0.5081675756632874,0,7
convex_blend,0.15,0.15,0.2,0.4999999999999999,0.7423371647509579,0.4883854453395391,0.1771381384859071,0.0421070351896667,1.0,0.5061528713336513,0,8
convex_blend,0.1,0.15,0.2,0.55,0.7424740010946906,0.4879820055724725,0.176087906919933,0.0395508877332812,1.0,0.5044483477673859,0,9
convex_blend,0.15,0.25,0.2,0.3999999999999999,0.7420634920634921,0.4870505017881493,0.177163952127744,0.0439697320706892,1.0,0.4794265512946427,0,10
convex_blend,0.2,0.2,0.2,0.4000000000000001,0.7425424192665572,0.4837030662948728,0.178278227664698,0.045221534581477,1.0,0.43916276668150306,0,11
convex_blend,0.2,0.25,0.2,0.35,0.7422003284072249,0.4839091098140422,0.1782978766474683,0.045950318678081,1.0,0.42529890096446127,0,12
convex_blend,0.2,0.15,0.2,0.45,0.7416529830322933,0.4841854075660909,0.1782610780801539,0.0446012463671164,1.0,0.3773129212968324,0,13
convex_blend,0.25,0.2,0.2,0.35,0.7411740558292284,0.4846324180801036,0.1794793677499561,0.0464798784854491,1.0,0.3441449760689936,0,14
convex_blend,0.25,0.25,0.2,0.3,0.7407635467980296,0.4835291235644942,0.1795045091954652,0.0475111682938339,1.0,0.3031985017156077,0,15
convex_blend,0.3,0.2,0.2,0.2999999999999999,0.7401477832512315,0.4826536091332216,0.180753215863487,0.0479396915765171,1.0,0.21885978532097794,0,16
convex_blend,0.35,0.1,0.2,0.3499999999999999,0.7403530377668308,0.4827368585717352,0.1820350174579963,0.0476651374116163,1.0,0.20486091531671147,0,17
convex_blend,0.35,0.15,0.2,0.2999999999999999,0.7402846195949643,0.4814977053006949,0.1820661450325302,0.0483329105063735,1.0,0.18238344119662891,0,18
convex_blend,0.4,0.1,0.2,0.3,0.7405582922824302,0.4803202848701244,0.1834432967025949,0.0476876382661417,1.0,0.14326385592455035,0,19
